Date,Category,Year,Month,Day,IsHoliday,PredictedOrderQuantity
2024-03-09,Bed,2024,3,9,1,23.43399889085241
2024-03-09,Desk,2024,3,9,1,22.335973834694208
2024-03-10,Table,2024,3,10,1,23.78543770189582
2024-03-10,Chair,2024,3,10,1,31.19330605158729
2024-03-10,Sofa,2024,3,10,1,26.217883847402586
2024-03-10,Cabinet,2024,3,10,1,21.18198592213342
2024-03-10,Bed,2024,3,10,1,23.342928355138127
2024-03-10,Desk,2024,3,10,1,22.36693702124724
2024-03-11,Table,2024,3,11,0,22.894792956626123
2024-03-11,Chair,2024,3,11,0,24.420112186996008
2024-03-11,Sofa,2024,3,11,0,23.08733881192336
2024-03-11,Cabinet,2024,3,11,0,21.151730348431432
2024-03-11,Bed,2024,3,11,0,22.033813070394572
2024-03-11,Desk,2024,3,11,0,22.180537094644237
2024-03-12,Table,2024,3,12,0,22.970158865717035
2024-03-12,Chair,2024,3,12,0,23.926195403615992
2024-03-12,Sofa,2024,3,12,0,22.991917383351932
2024-03-12,Cabinet,2024,3,12,0,21.23588390320999
2024-03-12,Bed,2024,3,12,0,22.112413089329053
2024-03-12,Desk,2024,3,12,0,22.434724600828094
2024-03-13,Table,2024,3,13,0,23.096719107652515
2024-03-13,Chair,2024,3,13,0,23.99473869365928
2024-03-13,Sofa,2024,3,13,0,23.253481022068296
2024-03-13,Cabinet,2024,3,13,0,21.21014422067031
2024-03-13,Bed,2024,3,13,0,22.10935748257022
2024-03-13,Desk,2024,3,13,0,22.485195830986832
2024-03-14,Table,2024,3,14,0,23.111632953806357
2024-03-14,Chair,2024,3,14,0,24.435984725405316
2024-03-14,Sofa,2024,3,14,0,23.318189355401632
2024-03-14,Cabinet,2024,3,14,0,21.226071501905164
2024-03-14,Bed,2024,3,14,0,22.09350466871741
2024-03-14,Desk,2024,3,14,0,22.49770700410191
2024-03-15,Table,2024,3,15,0,23.06655400422652
2024-03-15,Chair,2024,3,15,0,24.383792806213396
2024-03-15,Sofa,2024,3,15,0,23.369110142947417
2024-03-15,Cabinet,2024,3,15,0,21.211150378584037
2024-03-15,Bed,2024,3,15,0,22.07103462532937
2024-03-15,Desk,2024,3,15,0,22.483477951904113
2024-03-16,Table,2024,3,16,1,23.203034053044668
2024-03-16,Chair,2024,3,16,1,29.408550595238097
2024-03-16,Sofa,2024,3,16,1,25.454169020562762
